paper_id,avg_period,pollutant,pollutant_raw,setting,unit,summary_type,value,variability_type,variability_value,unit_norm,summary_type_norm,value_ugm3,who_band
Levanon_2023_1037,Daily average,PM10,PM10,Outdoor,μg/m³,Mean,39.3,SD,15.6,μg/m³,mean,39.3,Low (≤50 — meets AQG/IT-4)
Kogevinas_2023_1989,Daily average,O3,O₃,Outdoor,μg/m³,Mean,64.2,SD,6.6,μg/m³,mean,64.2,No WHO 24-hr guideline available
Wei_2023_4322,Daily average,PM2.5,PM2.5 1-yr,Outdoor,μg/m³,Mean,50.56,SD 15.27,NA,μg/m³,mean,50.56,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Wu_2021_5619,Daily average,Black Carbon,Element Carbon,Outdoor,μg/m³,Mean,1.23,SD,0.75,μg/m³,mean,1.23,No WHO 24-hr guideline available
Areal_2023_6827,Daily average,O3,O3,Outdoor,μg/m³,Mean,53.54,SD,10.6,μg/m³,mean,53.54,No WHO 24-hr guideline available
Huang_2021_4400,Daily average,Nitrate (NO3-),Nitrate,Outdoor,μg/m³,Mean,4.4,SD,3.3,μg/m³,mean,4.4,No WHO 24-hr guideline available
Zhang_2021_1191,Daily average,PM2.5,PM 2.5 (indoor non heating season),Indoor,μg/m³,Mean,58.6,NA,NA,μg/m³,mean,58.6,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Wang_2022_c438,Daily average,PM10,PM10,Not specified,μg/m³,Mean,70.97,SD,20.72,μg/m³,mean,70.97,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Zhang_2021_1637,Daily average,NO2,NO2,Outdoor,μg/m³,Mean,57.12,SD,25.65,μg/m³,mean,57.12,Moderate (25.1–120 — meets IT-1)
Ho_2024_940-4,Daily average,PM10,PM10,Not specified,μg/m³,Mean,61.56,SD,16.81,μg/m³,mean,61.56,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Zhang_2024_2548,Daily average,Nitrate (NO3-),NO₃⁻,Outdoor,μg/m³,Mean,11.49,SD,5.85,μg/m³,mean,11.49,No WHO 24-hr guideline available
